,Year,Team,index,Player,Position,Base_Salary,Signing_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restruct_Bonus,Misc,Dead_Cap,Cap_Hit,Cap_Pct
0,2011,arizona-cardinals,0,"Fitzgerald
Larry Fitzgerald ",WR,"$2,000,000","$5,000,000","$8,000,000","$1,250,000",-,-,-,-,16250000.0,13.79
1,2011,arizona-cardinals,1,"Brown
Levi Brown ",LT,"$6,777,500",-,-,"$2,392,500","$250,000",-,-,-,9420000.0,8.00
2,2011,arizona-cardinals,2,"Wilson
Adrian Wilson ",S,"$3,500,000","$200,000","$3,000,000",-,"$250,000","$600,000",-,-,7550000.0,6.41
3,2011,arizona-cardinals,3,"Dockett
Darnell Dockett ",DE,"$2,350,000",-,-,"$3,000,000","$250,000",-,-,"($15,000,000)",5600000.0,4.75
4,2011,arizona-cardinals,4,"Anderson
Derek Anderson ",QB,"$4,087,500","$1,250,000",-,-,"$50,000",-,-,-,5387500.0,4.57
5,2011,arizona-cardinals,5,"Kolb
Kevin Kolb ",QB,"$2,000,000","$2,000,000",-,-,-,-,-,-,4000000.0,3.40
6,2011,arizona-cardinals,6,"Rhodes
Kerry Rhodes ",S,"$2,425,000",-,-,-,"$500,000",-,"$1,000,000",-,3925000.0,3.33
7,2011,arizona-cardinals,7,"Marshall
Richard Marshall ",CB,"$3,000,000","$500,000",-,-,-,-,-,-,3500000.0,2.97
8,2011,arizona-cardinals,8,"Peterson
Patrick Peterson ",CB,"$375,000","$2,975,818",-,-,-,-,-,-,3350818.0,2.84
9,2011,arizona-cardinals,9,"Bradley
Stewart Bradley ",ILB,"$2,000,000","$1,000,000",-,-,-,-,-,-,3000000.0,2.55
10,2011,arizona-cardinals,10,"Colledge
Daryn Colledge ",G,"$1,000,000","$1,500,000",-,-,-,-,-,-,2500000.0,2.12
11,2011,arizona-cardinals,11,"Sendlein
Lyle Sendlein ",C,"$1,500,000","$700,000",-,-,"$150,000",-,-,-,2350000.0,1.99
12,2011,arizona-cardinals,12,"Feely
Jay Feely ",K,"$2,000,000",-,"$250,000",-,-,-,-,-,2250000.0,1.91
13,2011,arizona-cardinals,13,"Lenon
Paris Lenon ",ILB,"$1,900,000","$166,667",-,-,"$100,000",-,-,-,2166667.0,1.84
14,2011,arizona-cardinals,14,"Heap
Todd Heap ",TE,"$1,000,000","$1,125,000",-,-,-,-,-,-,2125000.0,1.80
15,2011,arizona-cardinals,15,"Hadnot
Rex Hadnot ",G,"$1,500,000","$250,000",-,-,-,-,-,-,1900000.0,1.61
