,index,Player,Position,Base_Salary,Signing_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restruct_Bonus,Misc,Dead_Cap,Cap_Hit,Cap_Pct
0,0,"Wilson
Russell Wilson ",QB,"$6,340,000","$6,200,000",-,-,-,"$2,086,666",-,"($31,200,000)",14626666.0,8.74
1,1,"Bennett
Michael Bennett ",DE,"$6,000,000","$3,737,500","$1,031,250",-,-,-,-,"($15,450,000)",10768750.0,6.43
2,2,"Thomas
Earl Thomas ",FS,"$8,500,000","$1,900,000",-,-,-,-,-,"($12,300,000)",10400000.0,6.21
3,3,"Graham
Jimmy Graham ",TE,"$7,900,000",-,"$2,000,000",-,"$100,000",-,-,"($10,000,000)",10000000.0,5.97
4,4,"Richardson
Sheldon Richardson ",DT,"$8,069,000",-,-,-,-,-,-,"($8,069,000)",8069000.0,4.82
5,5,"Wagner
Bobby Wagner ",ILB,"$4,000,000","$1,600,000","$1,000,000","$1,000,000",-,-,-,"($11,800,000)",7600000.0,4.54
6,6,"Joeckel
Luke Joeckel ",G,"$2,750,000","$4,250,000","$250,000",-,-,-,-,"($7,000,000)",7250000.0,4.33
7,7,"Wright
K.J. Wright ",OLB,"$5,800,000","$1,000,000",-,-,-,-,-,"($7,800,000)",6800000.0,4.06
8,8,"Lane
Jeremy Lane ",CB,"$4,000,000","$1,250,000",-,-,-,-,-,"($5,867,647)",5250000.0,3.14
9,9,"Brown
Duane Brown ",LT,"$4,976,471",-,-,-,-,-,-,"($2,350,000)",4976470.0,2.97
10,10,"Baldwin
Doug Baldwin ",WR,"$775,000","$1,400,000","$500,000",-,-,"$1,743,750",-,"($13,350,000)",4418750.0,2.64
11,11,"Lacy
Eddie Lacy ",RB,"$1,365,000","$1,500,000","$312,500",-,"$385,000",-,-,"($3,250,000)",3562500.0,2.13
12,12,"Britt
Justin Britt ",C,"$891,400","$1,458,533",-,-,-,-,-,"($5,000,000)",2349933.0,1.40
13,13,"McDougald
Bradley McDougald ",SS,"$800,000","$750,000","$250,000",-,-,-,"$200,000","($800,000)",2000000.0,1.19
14,14,"Ifedi
Germain Ifedi ",RT,"$825,687","$1,052,746",-,-,-,-,-,"($5,185,300)",1878433.0,1.12
