,Position,Year,RV
0,DB,1990,-1.2164065795826695
1,DB,1991,0.16764397052527769
2,DB,1992,0.5334183834430022
3,DB,1993,1.130456341129498
4,DB,1994,-0.21581930703486435
5,DB,1995,1.2256991196606215
6,DB,1996,2.3266151106527615
7,DB,1997,-0.004875429300560448
8,DB,1998,-0.5977929877634923
9,DB,1999,-1.268017877480539
10,DB,2000,-1.2497424587634858
11,DB,2001,-2.654305009311517
12,DB,2002,-0.6449401782861945
13,DB,2003,0.10624552369233457
14,DB,2004,-2.7602730313139254
15,DB,2005,-1.279372412512497
16,DB,2006,-0.7426030132956379
17,DB,2007,0.7771822856785856
18,DB,2008,-0.7411644817791465
19,DB,2009,-0.0807688122418135
20,DB,2010,0.7032657113466209
21,DB,2011,-1.7130119141409512
22,DB,2012,-1.6781080077100363
23,DB,2013,-1.2796109920549492
24,DB,2014,-2.4256551243018802
25,DB,2015,-2.0722392260806615
26,DB,2016,-0.4566018697530427
27,DB,2017,0.05559174053414097
28,DL,1990,-1.0115510285024463
29,DL,1991,0.8533187431435099
30,DL,1992,1.7201041840964424
31,DL,1993,4.215739487140768
32,DL,1994,-1.373464285790675
33,DL,1995,0.791529970011194
34,DL,1996,0.5410174887055061
35,DL,1997,4.020619213974529
36,DL,1998,-1.2597934109013365
37,DL,1999,2.222366040394881
38,DL,2000,-1.273203531497663
39,DL,2001,-0.8581568752276733
40,DL,2002,1.2431629756593305
41,DL,2003,-1.3278002394012218
42,DL,2004,2.116597759950735
43,DL,2005,-0.11482486952248423
44,DL,2006,1.1929066174212002
45,DL,2007,-1.5715239490635815
46,DL,2008,0.6710947756041777
47,DL,2009,0.10130400515773265
48,DL,2010,0.8164027337673024
49,DL,2011,2.248692587011171
50,DL,2012,1.5819982484311497
51,DL,2013,-0.8260300002638892
52,DL,2014,-0.540434605338422
53,DL,2015,0.6459691682866955
54,DL,2016,-0.18481072876813998
55,DL,2017,-0.5729740791649891
56,LB,1990,0.42333465976199897
57,LB,1991,0.5992245471582636
58,LB,1992,2.219828688236045
59,LB,1993,-2.361872986304887
60,LB,1994,1.6944364546219166
61,LB,1995,-0.15649485537967814
62,LB,1996,1.040781725912869
63,LB,1997,-0.23776310759545993
64,LB,1998,2.3433701428283165
65,LB,1999,2.4798393629086424
66,LB,2000,5.134580585155421
67,LB,2001,0.668388175057043
68,LB,2002,1.6902931392767904
69,LB,2003,2.760019973444525
70,LB,2004,-1.1606680086011296
71,LB,2005,1.2009193482655078
72,LB,2006,2.7730325627631736
73,LB,2007,0.7782706300543343
74,LB,2008,0.5067623899674077
75,LB,2009,-0.4729035652803604
76,LB,2010,-1.7233190980977726
77,LB,2011,2.0042463791862364
78,LB,2012,4.326284431363874
79,LB,2013,0.1826001487428801
80,LB,2014,1.0236927099629747
81,LB,2015,0.35057883314059957
82,LB,2016,1.0587868689132576
83,LB,2017,0.1486244250608642
84,OL,1990,2.080253473829231
85,OL,1991,-0.7293572167513805
86,OL,1992,-0.3498127548369308
87,OL,1993,0.9032852412739754
88,OL,1994,2.116062235952568
89,OL,1995,2.7203436212949827
90,OL,1996,2.3536332324676974
91,OL,1997,2.062674098175586
92,OL,1998,2.095427999504265
93,OL,1999,0.9912016768886733
94,OL,2000,1.5260978067410926
95,OL,2001,3.5415546865039773
96,OL,2002,1.2607503723310425
97,OL,2003,2.3310537611074564
98,OL,2004,2.599023019031171
99,OL,2005,3.12053209856117
100,OL,2006,1.5877018700870231
101,OL,2007,1.7459776539028102
102,OL,2008,3.360247944733554
103,OL,2009,3.0675094055383005
104,OL,2010,1.1330310427758061
105,OL,2011,2.529356557240839
106,OL,2012,-0.10059332505631625
107,OL,2013,2.245914420962263
108,OL,2014,4.200280197888999
109,OL,2015,1.5553412511070697
110,OL,2016,0.7416802936119224
111,OL,2017,-0.017862243276970873
112,QB,1990,-1.68296984362125
113,QB,1991,-2.7993132666420633
114,QB,1992,-1.6151856618456926
115,QB,1993,5.854307165728868
116,QB,1994,0.5041143036110611
117,QB,1995,-3.0683496372061225
118,QB,1996,-4.851114779110089
119,QB,1997,-2.1995043897415973
120,QB,1998,2.5436280945801135
121,QB,1999,-1.6377260374429552
122,QB,2000,1.7743139018247118
123,QB,2001,-1.3436863971587045
124,QB,2002,0.048119253606357874
125,QB,2003,-4.989201384574518
126,QB,2004,-1.4972628065604379
127,QB,2005,2.1101702701013036
128,QB,2006,-1.0633322106006715
129,QB,2007,-6.676994706932066
130,QB,2008,-0.19957827185135707
131,QB,2009,-0.25553398639795427
132,QB,2010,-6.555081110199269
133,QB,2011,-3.694177186877838
134,QB,2012,0.6902000059616504
135,QB,2013,-6.4151879865065915
