,Position,Year,RV
0,DB,1990,-64.46954871788148
1,DB,1991,9.890994260991384
2,DB,1992,30.404847856251124
3,DB,1993,47.479166327438925
4,DB,1994,-7.769495053255117
5,DB,1995,53.930761265067346
6,DB,1996,102.3710648687215
7,DB,1997,-0.2535223236291433
8,DB,1998,-25.70509847383017
9,DB,1999,-59.59684024158534
10,DB,2000,-66.23635031446474
11,DB,2001,-119.44372541901826
12,DB,2002,-33.536889270882114
13,DB,2003,5.099785137232059
14,DB,2004,-132.49310550306842
15,DB,2005,-63.96862062562485
16,DB,2006,-36.38754765148626
17,DB,2007,38.85911428392928
18,DB,2008,-34.09356616184074
19,DB,2009,-4.442284673299742
20,DB,2010,37.2730827013709
21,DB,2011,-90.78963144947042
22,DB,2012,-83.90540038550182
23,DB,2013,-66.53977158685736
24,DB,2014,-128.55972158799966
25,DB,2015,-95.32300439971043
26,DB,2016,-23.286695357405176
27,DB,2017,3.1131374699118943
28,DL,1990,-55.635306567634544
29,DL,1991,43.519255900319
30,DL,1992,98.04593849349722
31,DL,1993,118.04070563994149
32,DL,1994,-50.81817857425497
33,DL,1995,32.452728770458954
34,DL,1996,23.80476950304227
35,DL,1997,164.84538777295566
36,DL,1998,-50.391736436053456
37,DL,1999,97.78410577737476
38,DL,2000,-57.29415891739484
39,DL,2001,-39.47521626047297
40,DL,2002,49.72651902637322
41,DL,2003,-63.73441149125865
42,DL,2004,88.89710591793087
43,DL,2005,-4.592994780899369
44,DL,2006,54.87370440137521
45,DL,2007,-70.71857770786117
46,DL,2008,25.501601472958754
47,DL,2009,3.9508562011515735
48,DL,2010,44.902150357201634
49,DL,2011,96.69378124148035
50,DL,2012,69.60792293097059
51,DL,2013,-41.301500013194456
52,DL,2014,-22.157818818875302
53,DL,2015,27.776674236327906
54,DL,2016,-7.7620506082618785
55,DL,2017,-24.064911324929543
56,LB,1990,18.203390369765955
57,LB,1991,23.369757339172278
58,LB,1992,93.2328049059139
59,LB,1993,-92.11304646589059
60,LB,1994,55.916403002523246
61,LB,1995,-5.320825082909057
62,LB,1996,31.223451777386074
63,LB,1997,-9.272761196222937
64,LB,1998,74.98784457050613
65,LB,1999,81.8346989759852
66,LB,2000,169.44115931012888
67,LB,2001,20.05164525171129
68,LB,2002,47.32820789975013
69,LB,2003,88.3206391502248
70,LB,2004,-39.462712292438404
71,LB,2005,38.42941914449625
72,LB,2006,85.96400944565838
73,LB,2007,25.68293079179303
74,LB,2008,17.229921258891864
75,LB,2009,-14.187106958410812
76,LB,2010,-49.976253844835405
77,LB,2011,68.14437689233203
78,LB,2012,138.44110180364396
79,LB,2013,4.747603867314883
80,LB,2014,35.829244848704114
81,LB,2015,12.620837993061585
82,LB,2016,35.99875354305076
83,LB,2017,4.755981601947655
84,OL,1990,108.17318063912
85,OL,1991,-41.57336135482869
86,OL,1992,-19.939327025705055
87,OL,1993,32.51826868586311
88,OL,1994,76.17824049429245
89,OL,1995,122.41546295827422
90,OL,1996,110.62076192598177
91,OL,1997,70.13091933796991
92,OL,1998,98.48511597670046
93,OL,1999,40.639268752435605
94,OL,2000,54.93952104267933
95,OL,2001,145.20374214666307
96,OL,2002,47.90851414857961
97,OL,2003,104.89741924983554
98,OL,2004,109.1589667993092
99,OL,2005,152.90607282949733
100,OL,2006,77.79739163426413
101,OL,2007,71.58508381001522
102,OL,2008,134.40991778934216
103,OL,2009,125.76788562707031
104,OL,2010,43.05517962548063
105,OL,2011,101.17426228963356
106,OL,2012,-4.4261063024779155
107,OL,2013,92.08249125945278
108,OL,2014,189.01260890500495
109,OL,2015,73.10103880203228
110,OL,2016,30.408892038088823
111,OL,2017,-0.5894540281400388
112,QB,1990,-33.659396872425
113,QB,1991,-36.39107246634682
114,QB,1992,-35.53408456060524
115,QB,1993,46.83445732583095
116,QB,1994,4.53702873249955
117,QB,1995,-42.956894920885716
118,QB,1996,-38.808918232880714
119,QB,1997,-24.19454828715757
120,QB,1998,20.349024756640908
121,QB,1999,-21.29043848675842
122,QB,2000,21.29176682189654
123,QB,2001,-14.78055036874575
124,QB,2002,0.7217888040953682
125,QB,2003,-64.85961799946872
126,QB,2004,-25.453467711527445
127,QB,2005,29.542383781418252
128,QB,2006,-13.823318737808728
129,QB,2007,-73.44694177625273
130,QB,2008,-2.594517534067642
131,QB,2009,-2.8108738503774973
132,QB,2010,-85.2160544325905
133,QB,2011,-48.024303429411894
134,QB,2012,7.5922000655781545
135,QB,2013,-70.5670678515725
136,QB,2014,-29.701291466727366
137,QB,2015,21.135415057658918
138,QB,2016,-0.5246978707926249
139,QB,2017,-1.615265574810692
140,RB,1990,0.2438298455737833
141,RB,1991,12.170315559321924
142,RB,1992,-92.4453485455139
143,RB,1993,-43.156051344335076
144,RB,1994,10.804012525815224
145,RB,1995,-43.78580840992902
146,RB,1996,-76.79678180985842
147,RB,1997,-56.27236246639434
148,RB,1998,-44.58435837894777
149,RB,1999,-128.5119550542467
150,RB,2000,34.96177303418729
151,RB,2001,56.238478165244054
152,RB,2002,-3.347089742107485
153,RB,2003,-82.31736270531752
154,RB,2004,28.917501408363744
155,RB,2005,-77.11400749976823
156,RB,2006,21.626089089176382
157,RB,2007,-12.806620527191868
158,RB,2008,-6.079387554199384
159,RB,2009,-62.40139312424169
160,RB,2010,-8.122748518377499
161,RB,2011,-20.39113968216217
162,RB,2012,-19.549991607627298
163,RB,2013,94.85090859048935
164,RB,2014,21.517505380205687
165,RB,2015,50.55380181095274
166,RB,2016,14.320599864345972
167,RB,2017,44.75748770660301
168,ST,1990,25.000658080970744
169,ST,1991,-5.929847375947392
170,ST,1992,16.91836509756355
171,ST,1993,-5.916104561693945
172,ST,1994,20.024665496132776
173,ST,1995,-18.451231254557964
174,ST,1996,-1.5382241221403028
175,ST,1997,-4.371950687572486
176,ST,1999,34.2175824981273
177,ST,2000,33.97592637736378
178,ST,2001,-10.04284317954341
179,ST,2002,-34.455518179819805
180,ST,2003,46.43689889597029
181,ST,2004,8.092180592438922
182,ST,2005,-0.7217748326436522
183,ST,2006,-9.625807083799934
184,ST,2007,42.66262665222488
185,ST,2008,-28.67625797877176
186,ST,2009,49.28969603356034
187,ST,2010,-8.982540858721043
188,ST,2011,1.814746314510126
189,ST,2012,14.20731926116234
190,ST,2013,9.527617454175868
191,ST,2014,-4.540090117610854
192,ST,2015,-0.9212757819947623
193,ST,2016,-3.2885428932028646
194,ST,2017,6.713444882828405
195,TE,1990,11.835826901321122
196,TE,1991,-15.598492238186598
197,TE,1992,-48.80093872594739
198,TE,1993,-34.89705840859173
199,TE,1994,-74.67652858611115
200,TE,1995,-70.70179745208657
201,TE,1996,-74.47282552592729
202,TE,1997,-73.84265423897278
203,TE,1998,-58.9080011243048
204,TE,1999,-10.819840565747718
205,TE,2000,-41.664019370676996
206,TE,2001,-79.58264324970453
207,TE,2002,-62.03772051999669
208,TE,2003,-3.37971966377863
209,TE,2004,-33.39870036225397
210,TE,2005,11.342136534359884
211,TE,2006,-74.6526735337394
212,TE,2007,4.227915126383965
213,TE,2008,-79.11889071469587
214,TE,2009,-71.62349399566611
215,TE,2010,-18.328482689630643
216,TE,2011,-34.77028808338163
217,TE,2012,-57.98259791805731
218,TE,2013,-16.422420307903685
219,TE,2014,-67.25373960522282
220,TE,2015,-37.64725493317245
221,TE,2016,-15.395959266606559
222,TE,2017,-14.398943521964574
223,WR,1990,-9.692633678813259
224,WR,1991,10.54245037550176
225,WR,1992,-41.882257495458134
226,WR,1993,-68.79033719856659
227,WR,1994,-34.19614803764568
228,WR,1995,-27.582395873434354
229,WR,1996,-76.40329838432734
230,WR,1997,-66.76850791097998
231,WR,1998,-14.232790890714636
232,WR,1999,-34.256581655588406
233,WR,2000,-149.41561798372211
234,WR,2001,41.8311129138646
235,WR,2002,-12.307812165995216
236,WR,2003,-30.463630573442448
237,WR,2004,-4.257768848757754
238,WR,2005,-85.82261455083719
239,WR,2006,-105.77184756364346
240,WR,2007,-26.0455306530424
241,WR,2008,-26.578820577620284
242,WR,2009,-23.543285259789023
243,WR,2010,45.39566766009904
244,WR,2011,-73.85180409353214
245,WR,2012,-63.984447847691925
246,WR,2013,-6.377861411914413
247,WR,2014,5.8533024625182195
248,WR,2015,-51.29623278515542
249,WR,2016,-30.470299449223813
250,WR,2017,-18.67147721144795
